"as","ms"
"as_abs","ms_abs"
"as_andop","ms_andop"
"as_asc","ms_asc"
"as_atn","ms_atn"
"as_qt_break","ms_brktxt"
"as_input_buffer","ms_buf"
"as_chrstr","ms_chr"
"as_clear","ms_clear"
"as_l_gtforpnt_2","ms_cmpfor"
"as_cont","ms_cont"
"as_cos","ms_cos"
"mon_write","ms_cqcout"
"mon_read","ms_cqcsin"
"mon_rdkey","ms_cqinch"
"mon_getlnz","ms_cqinln"
"as_data","ms_data"
"as_def","ms_def"
"as_dim","ms_dim"
"as_relops","ms_dorel"
"as_err_badsubs","ms_e_errbs"
"as_err_cantcont","ms_e_errcn"
"as_err_redimd","ms_e_errdd"
"as_err_zerodiv","ms_e_errdv0"
"as_err_illqty","ms_e_errfc"
"as_err_illdir","ms_e_errid"
"as_err_strlong","ms_e_errls"
"as_err_nofor","ms_e_errnf"
"as_err_nodata","ms_e_errod"
"as_err_memfull","ms_e_errom"
"as_err_overflow","ms_e_errov"
"as_err_nogosub","ms_e_errrg"
"as_err_syntax","ms_e_errsn"
"as_err_frmcpx","ms_e_errst"
"as_err_badtype","ms_e_errtm"
"as_err_undeffunc","ms_e_erruf"
"as_err_undefstat","ms_e_errus"
"as_endx","ms_end"
"as_qt_error","ms_err"
"as_error","ms_error"
"as_error_messages","ms_errtab"
"as_exp","ms_exp"
"as_faddt","ms_faddt"
"as_fdivt","ms_fdivt"
"as_l_gtforpnt_1","ms_ffloop"
"as_fmultt","ms_fmultt"
"as_gtforpnt","ms_fndfor"
"as_wait","ms_fnwait"
"as_for","ms_for"
"as_fpwrt","ms_fpwrt"
"as_fre","ms_fre"
"as_fsubt","ms_fsubt"
"as_unfnc","ms_fundsp"
"as_get","ms_get"
"as_gosub","ms_gosub"
"as_goto","ms_goto"
"as_if","ms_if"
"as_input","ms_input"
"as_int","ms_int"
"as_qt_in","ms_intxt"
"as_leftstr","ms_left"
"as_len","ms_len"
"as_let","ms_let"
"as_list","ms_list"
"as_load","ms_load"
"as_log","ms_log"
